phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6700,16.7100,2.9286,10310,535,816808284024,2.2416,0.8916,14.4545,16810600,77000,357300,0,1200,0
walking,0,16.6658,16.8620,2.3562,10310,535,816808451124,2.5526,1.0791,14.2963,16801000,84300,246100,0,1300,0
walking,0,16.6767,16.4642,2.7023,10310,535,816808619744,2.1414,1.2867,14.3099,16371100,86700,241500,0,1600,0
walking,0,16.6565,16.8262,3.0781,10310,535,816808784386,2.4278,0.8340,14.3829,16681300,81500,1780900,958100,1500,0
walking,0,16.6696,16.8182,2.0675,16702,535,816808952648,2.6947,0.8913,14.1066,16787000,72200,716000,0,1200,0
walking,0,16.6647,16.3877,2.9460,10310,534,816809120830,2.6795,1.3837,13.6917,16591800,85500,476500,0,1200,0
walking,0,16.6690,16.6942,2.0306,10310,534,816809284707,3.5542,0.9106,13.1272,16588900,104400,307900,0,1600,0
walking,0,16.9473,16.8005,2.0992,10310,502,816809451649,2.5805,1.2758,14.2067,17663900,121700,224000,0,1800,0
walking,0,16.6663,16.6062,3.5359,10310,503,816809619654,3.2630,1.1122,13.3290,16117100,74200,227000,0,3100,0
walking,0,16.6653,16.6043,2.3398,16702,503,816809785716,2.9927,0.8693,13.5965,16442800,138500,883600,0,1400,0
walking,0,16.6684,17.6913,3.0228,10310,502,816809951759,3.5170,0.8078,14.1473,16437400,77500,327100,0,1600,0
walking,0,16.6794,16.1454,2.4310,10310,502,816810128672,2.8569,1.0876,13.2609,16692100,88400,279500,0,1500,0
walking,0,16.6541,16.4593,2.0982,10310,502,816810290126,3.4151,1.5849,13.0279,16579600,89300,263600,0,1400,0
walking,0,16.6673,16.4540,2.0460,10310,503,816810454719,2.7163,1.2351,13.7213,16652100,85800,319400,0,1300,0
walking,0,16.7694,16.7080,2.3808,16702,503,816810619259,2.3469,1.1636,14.3454,16754600,85700,623000,0,1800,0
walking,0,16.5640,16.5939,2.1647,10310,502,816810786339,2.3062,1.1273,14.2735,16546900,90300,267600,0,1700,0
walking,0,16.6679,16.6665,2.0367,10310,503,816810952278,2.2758,1.0016,14.3764,16655900,110400,435400,0,1200,0
walking,0,16.6661,16.7711,2.0204,10310,503,816811118943,2.5337,1.1391,14.2211,16651300,85300,258100,0,1600,0
walking,0,16.6671,16.5598,2.0787,10310,499,816811286654,2.4499,1.1536,14.0970,16651600,83100,245400,0,1600,0
