phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls
walking,0,1.6375,1.9822,0.0000,112,80
walking,0,10.9994,1.4913,0.0000,112,80
walking,0,2.8380,1.9410,0.0000,112,80
walking,0,1.8742,1.6527,0.0000,112,80
walking,0,1.3159,10.9897,0.0000,112,80
walking,0,1.4813,2.8355,0.0000,112,80
walking,0,1.4423,1.8714,0.0000,112,80
walking,0,2.2467,1.3153,0.0000,112,80
walking,0,1.5920,1.4821,0.0000,112,80
walking,0,1.5375,1.4430,0.0000,112,80
walking,0,1.6983,2.2460,0.0000,112,80
walking,0,2.1913,1.5919,0.0000,112,80
walking,0,2.1921,1.5546,0.0000,112,80
walking,0,1.6012,1.6817,0.0000,112,80
walking,0,1.6544,2.1910,0.0000,112,80
walking,0,1.7334,2.1919,0.0000,112,80
walking,0,2.2530,1.6018,0.0000,112,80
walking,0,2.2046,1.6551,0.0000,112,80
walking,0,1.7270,1.7329,0.0000,112,80
walking,0,1.1366,2.2523,0.0000,112,80
walking,0,1.5445,2.2056,0.0000,112,80
walking,0,1.9806,1.7246,0.0000,112,79
walking,0,2.8312,1.1381,0.0000,112,80
walking,0,1.6906,1.5452,0.0000,112,80
walking,0,1.7382,1.9863,0.0000,112,80
walking,0,1.5543,2.8276,0.0000,112,80
walking,0,2.3830,1.6883,0.0000,112,80
walking,0,2.2488,1.7390,0.0000,112,80
walking,0,2.4605,1.5553,0.0000,112,80
walking,0,1.5213,2.3835,0.0000,160,80
walking,0,1.5646,2.2687,0.0000,112,80
walking,0,1.6793,2.4406,0.0000,112,80
walking,0,1.8347,1.5180,0.0000,112,80
walking,0,2.3294,1.5658,0.0000,112,79
walking,0,1.6368,1.6782,0.0000,112,80
walking,0,1.2445,1.8373,0.0000,112,74
walking,0,1.6309,2.3283,0.0000,112,74
walking,0,1.7387,1.6353,0.0000,112,74
walking,0,1.4228,1.2438,0.0000,112,74
walking,0,10.8674,1.6337,0.0000,112,74
walking,0,2.0506,1.7372,0.0000,112,74
walking,0,1.6120,1.4222,0.0000,112,74
walking,0,1.3438,10.8741,0.0000,112,74
walking,0,2.3850,2.0454,0.0000,112,74
walking,0,1.9462,1.6118,0.0000,112,74
walking,0,1.7620,1.3434,0.0000,112,74
walking,0,1.6928,2.3863,0.0000,112,74
walking,0,11.9054,1.9459,0.0000,112,74
walking,0,1.9885,1.7617,0.0000,112,74
walking,0,1.3475,1.6926,0.0000,112,74
walking,0,1.5248,11.9136,0.0000,112,74
walking,0,1.2328,1.9801,0.0000,112,74
walking,0,2.4021,1.3470,0.0000,112,73
walking,0,1.9993,1.5239,0.0000,112,74
walking,0,1.9013,1.2333,0.0000,112,73
walking,0,1.3174,2.4042,0.0000,112,74
walking,0,1.7114,2.0000,0.0000,112,73
walking,0,1.8629,1.9000,0.0000,112,74
walking,0,1.6270,1.3149,0.0000,112,74
walking,0,1.4328,1.7125,0.0000,112,74
walking,0,13.5229,1.8647,0.0000,112,73
walking,0,2.1152,1.6236,0.0000,112,74
walking,0,1.5129,1.4342,0.0000,112,74
walking,0,1.5448,13.5318,0.0000,112,74
walking,0,1.4420,2.1064,0.0000,112,74
walking,0,1.9804,1.5170,0.0000,112,74
walking,0,1.6093,1.5412,0.0000,112,74
walking,0,1.4481,1.4394,0.0000,112,74
walking,0,1.6984,1.9805,0.0000,112,74
walking,0,2.1395,1.6120,0.0000,112,74
walking,0,1.4997,1.4478,0.0000,112,74
walking,0,2.2264,1.6971,0.0000,112,74
walking,0,1.6603,2.1395,0.0000,112,74
walking,0,1.4568,1.5000,0.0000,112,73
walking,0,18.0761,2.2267,0.0000,112,74
walking,0,2.1201,1.6586,0.0000,112,74
walking,0,1.2372,1.4588,0.0000,112,74
walking,0,1.5896,18.0860,0.0000,112,74
walking,0,1.2158,2.1098,0.0000,112,74
walking,0,1.7882,1.2358,0.0000,112,72
walking,0,1.1935,1.5901,0.0000,112,72
walking,0,1.5283,1.2151,0.0000,112,71
walking,0,1.5833,1.7910,0.0000,112,72
