phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6629,16.7004,2.1053,10310,498,818156132168,2.4944,1.0266,14.1918,16641800,81400,215700,0,1300,0
walking,0,16.6675,16.6667,2.1197,16702,503,818156299172,2.0009,0.9478,14.6503,16652900,78200,489600,0,1400,0
walking,0,16.6659,16.6788,2.1883,10310,503,818156465839,2.0982,0.8098,14.5629,16648700,98100,276000,0,1400,0
walking,0,16.6666,16.6573,2.3347,10310,503,818156632627,2.2434,1.1369,14.3984,16653100,72700,197800,0,1000,0
walking,0,16.6687,16.6665,2.1115,10310,503,818156799200,2.4193,0.9755,14.2338,16656900,74100,204500,0,1700,0
walking,0,16.7134,16.6639,2.1893,10310,503,818156965865,2.4460,0.7483,14.2028,16711300,80300,251500,0,1200,0
walking,0,16.6550,16.6671,2.4812,16702,497,818157132504,2.2457,0.8152,14.4075,16619800,67100,468500,0,1200,0
walking,0,16.6696,16.6712,2.0040,10310,495,818157299175,2.0316,1.2745,14.6254,16658500,79700,237900,0,1200,0
walking,0,16.6667,16.7353,2.4084,10310,498,818157465887,1.9868,0.8994,14.7246,16650400,84100,255200,0,1400,0
walking,0,16.7304,16.6302,2.1361,10234,498,818157633240,2.1709,1.2549,14.4489,16713000,72400,373400,0,1300,0
walking,0,16.6684,16.6718,2.4463,10234,498,818157799542,2.1253,1.0506,14.5333,16659000,71400,208200,0,1100,0
walking,0,16.6668,16.6670,2.0951,16626,498,818157966260,2.5325,1.0245,14.1181,16651600,66200,439500,0,1200,0
walking,0,16.6680,16.7270,2.0767,10234,499,818158132930,2.2772,1.3302,14.4359,16654900,69300,235600,0,1400,0
walking,0,16.6688,16.6724,2.4187,10234,488,818158300200,1.9941,0.9963,14.6650,16657700,79700,306400,0,1600,0
walking,0,16.6659,16.6664,2.1402,10234,491,818158466924,2.2080,0.8463,14.4436,16648800,82000,260300,0,1500,0
walking,0,16.6663,16.6677,2.0296,10234,490,818158633588,2.5401,1.5378,14.1148,16648100,77400,244800,0,1600,0
walking,0,17.0872,16.6731,2.1023,16626,489,818158800265,2.3370,1.2751,14.3208,17071400,76800,674500,0,1400,0
walking,0,16.6637,16.6654,2.1473,10234,491,818158966996,2.3339,0.9230,14.3152,16640800,74800,253000,0,1500,0
walking,0,16.6705,16.6648,2.3552,10258,491,818159133650,2.3040,1.1945,14.3443,16664200,68100,276400,0,1100,0
walking,0,16.6639,17.0879,1.9538,10234,491,818159300298,2.3792,1.0996,14.6923,16643800,82600,332200,0,1300,0
walking,0,16.6669,16.6561,1.9528,10234,475,818159471177,2.3034,1.4106,14.3375,16653400,66000,299500,0,1200,0
walking,0,16.6656,16.6782,2.1228,16626,473,818159637738,2.1745,0.9430,14.4900,16650400,65300,593700,0,1000,0
walking,0,16.6687,16.6562,2.1166,10234,473,818159804520,2.4599,1.0259,14.1839,16659500,67500,238800,0,1100,0
walking,0,16.6670,16.6684,2.2630,10234,469,818159971082,2.1897,1.1250,14.4638,16652700,71000,230400,0,1000,0
walking,0,16.6695,16.6632,1.9374,10234,473,818160137766,2.3790,0.9737,14.2714,16664600,74100,433400,0,1000,0
walking,0,16.6671,16.6725,2.3091,10282,472,818160304398,2.0862,0.8459,14.5735,16646300,78700,230900,0,1400,0
walking,0,16.6652,16.6675,2.0920,16626,346,818160471123,2.5882,1.0442,14.0645,16550100,76800,499000,0,1200,0
walking,0,16.6674,16.6782,2.2723,10234,343,818160637798,2.4752,0.8207,14.1894,16655900,65200,260700,0,900,0
walking,0,16.6672,16.7568,2.5539,10234,343,818160804580,2.0592,0.8956,14.5872,16654800,75200,250400,0,1200,0
walking,0,16.6679,16.5639,2.3869,10234,339,818160972148,2.1699,1.3992,14.3802,16657300,65800,445500,0,1100,0
walking,0,16.6650,16.6675,2.6911,10234,334,818161137787,1.9178,0.9370,14.7381,16648900,93700,230100,0,1100,0
walking,0,16.6684,16.6658,2.2538,28610,335,818161304462,2.0142,1.2614,14.6407,16658400,66300,472400,0,900,0
walking,0,16.6653,16.6721,2.2508,10234,310,818161471120,2.4568,0.9451,14.2006,16653200,66100,222600,0,1000,0
walking,0,16.6675,16.6598,2.5262,10234,310,818161637841,2.0933,0.9189,14.5556,16654100,68800,225000,0,1100,0
walking,0,16.6684,16.6693,2.1975,10234,310,818161804439,2.3772,0.9498,14.2813,16660400,68000,221900,0,1200,0
walking,0,16.6658,16.6671,2.5498,10234,309,818161971132,2.1471,0.7089,14.5061,16649600,71000,224600,0,1100,0
walking,0,16.6678,16.6649,2.3050,16626,309,818162137803,2.0414,0.7358,14.6128,16658100,70200,689300,0,1200,0
walking,0,16.6674,16.6727,2.3501,10234,305,818162304452,1.9212,0.7442,14.7393,16651000,80700,222200,0,1700,0
walking,0,16.6649,16.6619,2.5805,10234,307,818162471179,2.1615,1.1164,14.4881,16645800,75500,221700,0,16400,0
walking,0,16.6683,16.6744,2.2917,10234,307,818162637798,2.4120,1.0966,14.2462,16657600,68500,357500,0,1100,0
walking,0,16.6674,16.6653,2.5651,10234,307,818162804542,2.2084,1.2848,14.4427,16653200,83000,248200,0,1500,0
walking,0,16.6643,16.6605,2.3368,26982,302,818162971195,1.9879,1.3314,14.6579,16647600,73300,659800,0,1300,0
walking,0,16.6683,16.6727,2.4166,10234,238,818163137800,2.1934,0.8133,14.4643,16656700,71500,262900,0,1300,0
walking,0,16.6657,16.6686,1.8309,10234,232,818163304527,2.0209,1.9095,14.6324,16652200,71000,307700,0,1300,0
walking,0,16.6670,16.6612,1.8022,10234,233,818163471213,2.8159,0.6973,13.8318,16654000,66900,244900,0,1000,0
walking,0,16.6675,16.6702,1.7828,10234,229,818163637825,2.0540,0.7383,14.6029,16657100,64500,218500,0,1000,0
walking,0,16.6665,16.6637,1.8063,16626,228,818163804527,2.1976,0.7491,14.4546,16656200,70000,544100,0,1300,0
walking,0,16.6700,16.6651,1.7603,10234,228,818163971164,1.8723,0.7123,14.7818,16662000,69200,228600,0,1100,0
